Suite name,Test name,Test number,Pins,Lsl,Usl,Units,Bin_h_num,Bin_s_num,Bin_s_name
H15_OOB_TH_SATA_1G5_ATE_VDDN,Squelch_idle_max,70290000,,10,90,mV,6,7029,H15_ALOS_TH_PCIE_8G_ATE_Failed
H15_OOB_TH_SATA_1G5_ATE_VDDN,squelch_idle_det,70300000,,1,1,,6,7030,H15_OOB_DET_SAS_1G5_ATE_Failed
H15_OOB_TH_SATA_3G_ATE_VDDN,Squelch_burst_min,70310000,,20,100,mV,6,7031,H15_ALOS_TH_PCIE_8G_ATE_Failed
H15_OOB_TH_SATA_3G_ATE_VDDN,Squelch_idle_max,70320000,,10,90,mV,6,7032,H15_ALOS_TH_PCIE_8G_ATE_Failed
H15_OOB_TH_SATA_3G_ATE_VDDN,squelch_idle_det,70330000,,1,1,,6,7033,H15_OOB_DET_SAS_12G_ATE_Failed
H15_OOB_TH_SATA_6G_ATE_VDDN,Squelch_burst_min,70340000,,20,100,mV,6,7034,H15_ALOS_TH_PCIE_8G_ATE_Failed
H15_OOB_TH_SATA_6G_ATE_VDDN,Squelch_idle_max,70350000,,10,90,mV,6,7035,H15_ALOS_TH_PCIE_8G_ATE_Failed
H15_OOB_TH_SATA_6G_ATE_VDDN,squelch_idle_det,70360000,,1,1,,6,7036,H15_OOB_DET_SAS_12G_ATE_Failed
H15_PLB_TxClkJitter_CS0L_5G_ATE_VDDN,Jitter_PkPk_UI,70370000,,0.01,0.3,UI,6,7037,H15_PLB_TxClkJitter_CS0L_5G_ATE_VDDN
H15_PLB_TxClkJitter_CS0L_6G25_ATE_VDDN,Jitter_PkPk_UI,70380000,,0.01,0.3,UI,6,7038,H15_PLB_TxClkJitter_CS0L_6G25_ATE_VDDN_Failed
H15_PLB_TxClkJitter_CS1L_5G_ATE_VDDN,Jitter_PkPk_UI,70390000,,0.01,0.3,UI,6,7039,H15_PLB_TxClkJitter_CS1L_5G_ATE_VDDN
H15_PLB_TxClkJitter_CS1L_6G25_ATE_VDDN,Jitter_PkPk_UI,70400000,,0.01,0.3,UI,6,7040,H15_PLB_TxClkJitter_CS1L_6G25_ATE_VDDN_Failed
H15_PLB_TxPrbs15Eye_CS1L_10G3125_ATE_VDDN,Jitter_PkPk_UI,70410000,,0.1,0.6,UI,6,7041,H15_PLB_TxPrbs15Eye_CSL_10G3125_ATE_VDDN_Failed
H15_PLB_TxPrbs15Eye_CS1L_10G3125_ATE_VDDN,PLB_TxPrbs15Eye,70420000,,300,1000,mV,6,7042,H15_PLB_TxPrbs15Eye_CSL_10G3125_ATE_VDDN_Failed
H15_PLB_TxPrbs15Eye_CS0L_10G3125_ATE_VDDN,Jitter_PkPk_UI,70430000,,0.1,0.6,UI,6,7043,H15_PLB_TxPrbs15Eye_CSL_10G3125_ATE_VDDN_Failed
H15_PLB_TxPrbs15Eye_CS0L_10G3125_ATE_VDDN,PLB_TxPrbs15Eye,70440000,,300,1000,mV,6,7044,H15_PLB_TxPrbs15Eye_CSL_10G3125_ATE_VDDN_Failed
H15_RxCTLETol_10G3125_ATE_VDDN,EQI,70450000,,-33,-15,,6,7045,H15_RxCTLETol_10G3125_ATE_VDDN
H15_RxDiffResAftCal_AC_VDDN,RxDiffResAftCal_Max,70460000,,80,120,Ohm,6,7046,H15_RxDiffResAftCal_AC_VDDN_Failed
H15_RxDiffResAftCal_AC_VDDN,RxDiffResAftCal_Min,70470000,,80,120,Ohm,6,7047,H15_RxDiffResAftCal_AC_VDDN_Failed
H15_RxFreqOffsetTol_10G3125_ABIST_VDDN,FreqOffset_Neg,70480000,,-500,-250,,6,7048,H15_RxFreqOffsetTol_10G3125_ABIST_VDDN_Failed
H15_RxFreqOffsetTol_10G3125_ABIST_VDDN,FreqOffset_Pos,70490000,,250,500,,6,7049,H15_RxFreqOffsetTol_10G3125_ABIST_VDDN_Failed
H15_RxFreqOffsetTol_10G3125_ATE_VDDN,MaxFreqOffset,70500000,,350,450,,6,7050,H15_RxFreqOffsetTol_10G3125_ATE_VDDN_Failed
H15_RxFreqOffsetTol_10G3125_ATE_VDDN,MinFreqOffset,70510000,,-450,-350,,6,7051,H15_RxFreqOffsetTol_10G3125_ATE_VDDN_Failed
H15_RxJitterTol_10G3125_ABIST_VDDN,Jitter_Amp_UI,70520000,,0.3,1,,6,7052,H15_RxJitterTol_10G3125_ABIST_VDDN_Failed
H15_RxJitterTol_10G3125_ATE_VDDN,Jitter_Amp_UI,70530000,,0.3,1,UI,6,7053,H15_RxJitterTol_10G3125_ATE_VDDN_Failed
H15_RxSensitivity_10G3125_ABIST_VDDN,MinSwing,70540000,,1,30,,6,7054,H15_RxSensitivity_10G3125_ABIST_VDDN_Failed
H15_RxSensitivity_10G3125_ATE_VDDN,MinVpp,70550000,,0,50,mV,6,7055,H15_RxSensitivity_10G3125_ATE_VDDN_Failed
H15_RxSigResAftCal_AC_VDDN,RxSigResAftCal_Neg_Max,70560000,,55,85,Ohm,6,7056,H15_RxSigResAftCal_AC_VDDN_Failed
H15_RxSigResAftCal_AC_VDDN,RxSigResAftCal_Neg_Min,70570000,,55,85,Ohm,6,7057,H15_RxSigResAftCal_AC_VDDN_Failed
H15_RxSigResAftCal_AC_VDDN,RxSigResAftCal_Pos_Max,70580000,,55,85,Ohm,6,7058,H15_RxSigResAftCal_AC_VDDN_Failed
H15_RxSigResAftCal_AC_VDDN,RxSigResAftCal_Pos_Min,70590000,,55,85,Ohm,6,7059,H15_RxSigResAftCal_AC_VDDN_Failed
H15_RxStrsAll_10G3125_ATE_VDDH,Err_Cnt,70600000,,0,0,,6,7060,H15_RxStrsAll_10G3125_ATE_VDDH_Failed
H15_RxStrsAll_10G3125_ATE_VDDH,EyeHeight_PT,70610000,,50,127,,6,7061,H15_RxStrsAll_10G3125_ATE_VDDH_Failed
H15_RxStrsAll_10G3125_ATE_VDDH,Jitter_Pk-Pk_UI,70620000,,0.2,0.6,UI,6,7062,H15_RxStrsAll_10G3125_ATE_VDDH_Failed
H15_RxStrsAll_10G3125_ATE_VDDL,Err_Cnt,70630000,,0,0,,6,7063,H15_RxStrsAll_10G3125_ATE_VDDL_Failed
H15_RxStrsAll_10G3125_ATE_VDDL,EyeHeight_PT,70640000,,50,127,,6,7064,H15_RxStrsAll_10G3125_ATE_VDDL_Failed
H15_RxStrsAll_10G3125_ATE_VDDL,Jitter_Pk-Pk_UI,70650000,,0.2,0.6,UI,6,7065,H15_RxStrsAll_10G3125_ATE_VDDL_Failed
H15_RxStrsAll_10G3125_Qtr_CS0L_ABIST_VDDL,Err_Cnt,70660000,,0,0,,6,7066,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_10G3125_Qtr_CS0L_ABIST_VDDL,EyeHeight_PT,70670000,,50,127,,6,7067,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_10G3125_Qtr_CS0L_ABIST_VDDL,Jitter_Pk-Pk_UI,70680000,,0.01,0.25,UI,6,7068,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_10G3125_Qtr_CS0L_ABIST_VDDH,Err_Cnt,70690000,,0,0,,6,7069,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_10G3125_Qtr_CS0L_ABIST_VDDH,EyeHeight_PT,70700000,,50,127,,6,7070,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_10G3125_Qtr_CS0L_ABIST_VDDH,Jitter_Pk-Pk_UI,70710000,,0.01,0.25,UI,6,7071,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_10G3125_Qtr_CS1L_ABIST_VDDL,Err_Cnt,70720000,,0,0,,6,7072,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_10G3125_Qtr_CS1L_ABIST_VDDL,EyeHeight_PT,70730000,,50,127,,6,7073,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_10G3125_Qtr_CS1L_ABIST_VDDL,Jitter_Pk-Pk_UI,70740000,,0.01,0.25,UI,6,7074,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_10G3125_Qtr_CS1L_ABIST_VDDH,Err_Cnt,70750000,,0,0,,6,7075,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_10G3125_Qtr_CS1L_ABIST_VDDH,EyeHeight_PT,70760000,,50,127,,6,7076,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_10G3125_Qtr_CS1L_ABIST_VDDH,Jitter_Pk-Pk_UI,70770000,,0.01,0.25,UI,6,7077,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH,Err_Cnt,70780000,,0,0,,6,7078,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH,EyeHeight_PT,70790000,,50,127,,6,7079,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH,Jitter_Pk-Pk_UI,70800000,,0.01,0.25,UI,6,7080,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDH_Failed
H15_RxStrsAll_2G578125_Qtr_ABIST_VDDL,Err_Cnt,70810000,,0,0,,6,7081,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDL_Failed
H15_RxStrsAll_2G578125_Qtr_ABIST_VDDL,EyeHeight_PT,70820000,,50,127,,6,7082,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDL_Failed
H15_RxStrsAll_2G578125_Qtr_ABIST_VDDL,Jitter_Pk-Pk_UI,70830000,,0.01,0.25,UI,6,7083,H15_RxStrsAll_2G578125_Qtr_ABIST_VDDL_Failed
H15_SSCRxFreqOffsetTol_6G_ATE_VDDN_1,NegFreqOffset_6000PPM_Errcnt,70840000,,0,0,,6,7084,H15_SSCRxFreqOffsetTol_12G_ABIST_Failed
H15_SSCRxFreqOffsetTol_6G_ATE_VDDN_1,PosFreqOffset_6000PPM_Errcnt,70850000,,0,0,,6,7085,H15_SSCRxFreqOffsetTol_12G_ABIST_Failed
H15_SSCRxJitterTol_6G_ATE_VDDN_1,Jitter_Amp_UI,70860000,,0.3,1,UI,6,7086,H15_SSCRxJitterTol_12G_ABIST_Failed
H15_SSCRxStrsAll_6G_ATE_VDDH_1,Err_Cnt_NegPPM,70870000,,0,0,,6,7087,H15_SSCRxStrsAll_3G_Qtr_ABIST_VDDL_Failed
H15_SSCRxStrsAll_6G_ATE_VDDH_1,Err_Cnt_PosPPM,70880000,,0,0,,6,7088,H15_SSCRxStrsAll_3G_Qtr_ABIST_VDDL_Failed
H15_SSCRxStrsAll_6G_ATE_VDDH_1,EyeHeight_PT_NegPPM,70890000,,50,127,pt,6,7089,H15_SSCRxStrsAll_3G_Qtr_ABIST_VDDL_Failed
H15_SSCRxStrsAll_6G_ATE_VDDH_1,EyeHeight_PT_PosPPM,70900000,,50,127,pt,6,7090,H15_SSCRxStrsAll_3G_Qtr_ABIST_VDDL_Failed
H15_SSCRxStrsAll_6G_ATE_VDDH_1,Jitter_Pk-Pk_UI_NegPPM,70910000,,0.01,0.6,UI,6,7091,H15_SSCRxStrsAll_3G_Qtr_ABIST_VDDL_Failed
H15_SSCRxStrsAll_6G_ATE_VDDH_1,Jitter_Pk-Pk_UI_PosPPM,70920000,,0.01,0.6,UI,6,7092,H15_SSCRxStrsAll_3G_Qtr_ABIST_VDDL_Failed
H15_SSCRxStrsAll_6G_ATE_VDDL_1,Err_Cnt_PosPPM,70930000,,0,0,,6,7093,H15_SSCRxStrsAll_3G_Qtr_ABIST_VDDL_Failed
H15_SSCRxStrsAll_6G_ATE_VDDL_1,EyeHeight_PT_PosPPM,70940000,,50,127,pt,6,7094,H15_SSCRxStrsAll_3G_Qtr_ABIST_VDDL_Failed
H15_SSCRxStrsAll_6G_ATE_VDDL_1,Err_Cnt_NegPPM,70950000,,0,0,,6,7095,H15_SSCRxStrsAll_3G_Qtr_ABIST_VDDL_Failed
H15_SSCRxStrsAll_6G_ATE_VDDL_1,EyeHeight_PT_NegPPM,70960000,,50,127,pt,6,7096,H15_SSCRxStrsAll_3G_Qtr_ABIST_VDDL_Failed
H15_SSCRxStrsAll_6G_ATE_VDDL_1,Jitter_Pk-Pk_UI_PosPPM,70970000,,0.01,0.6,UI,6,7097,H15_SSCRxStrsAll_3G_Qtr_ABIST_VDDL_Failed
H15_SSCRxStrsAll_6G_ATE_VDDL_1,Jitter_Pk-Pk_UI_NegPPM,70980000,,0.01,0.6,UI,6,7098,H15_SSCRxStrsAll_3G_Qtr_ABIST_VDDL_Failed
H15_TxElectrical_IDLE_PCIE_2G5_DC_VDDN,PCIE_DIFF_IDLE,70990000,,0,10,mV,6,7099,H15_PCIE_IDLE_8G_DC_Failed
H15_TxElectrical_IDLE_PCIE_2G5_DC_VDDN,PCIE_COMM_DIFF,71000000,,0,100,mV,6,7100,H15_PCIE_IDLE_8G_DC_Failed
H15_TxElectrical_IDLE_PCIE_8G_DC_VDDN,PCIE_DIFF_IDLE,71010000,,0,10,mV,6,7101,H15_PCIE_IDLE_8G_DC_Failed
H15_TxElectrical_IDLE_PCIE_8G_DC_VDDN,PCIE_COMM_DIFF,71020000,,0,100,mV,6,7102,H15_PCIE_IDLE_8G_DC_Failed
H15_TxElectrical_IDLE_SAS_12G_DC_VDDN,PCIE_DIFF_IDLE,71030000,,0,10,mV,6,7103,H15_PCIE_IDLE_8G_DC_Failed
H15_TxElectrical_IDLE_SAS_12G_DC_VDDN,PCIE_COMM_DIFF,71040000,,0,100,mV,6,7104,H15_PCIE_IDLE_8G_DC_Failed
H15_TxElectrical_IDLE_SAS_1G5_DC_VDDN,PCIE_DIFF_IDLE,71050000,,0,10,mV,6,7105,H15_PCIE_IDLE_8G_DC_Failed
H15_TxElectrical_IDLE_SAS_1G5_DC_VDDN,PCIE_COMM_DIFF,71060000,,0,100,mV,6,7106,H15_PCIE_IDLE_8G_DC_Failed
H15_TxEScopePrbs15_10G3125_ABIST_VDDN,EyeHeight_PT,71070000,,70,127,pt,6,7107,H15_TxEScopePrbs15_10G3125_ABIST_VDDN_Failed
H15_TxEScopePrbs15_10G3125_ABIST_VDDN,Jitter_Pk-Pk_UI,71080000,,0.1,0.6,UI,6,7108,H15_TxEScopePrbs15_10G3125_ABIST_VDDN_Failed
H15_TxIjEScopePrbs15_10G3125_ABIST_VDDN,EyeHeight_PT,71090000,,1,5,pt,6,7109,H15_TxIjEScopePrbs15_10G3125_ABIST_VDDN_Failed
H15_TxIjEScopePrbs15_10G3125_ABIST_VDDN,Jitter_Pk-Pk_UI,71100000,,0.9,1,UI,6,7110,H15_TxIjEScopePrbs15_10G3125_ABIST_VDDN_Failed
H15_TxReceiver_Detection_PCIE_2G5_ATE_VDDN,Receiver_det,71110000,,1,1,,6,7111,H15_PCIE_RX_DET_8G_ABIST_Failed
H15_TxReceiver_Detection_PCIE_2G5_ATE_VDDN,Receiver_nodet,71120000,,0,0,,6,7112,H15_PCIE_RX_DET_8G_ABIST_Failed
H15_TxRxBertPrbs15_100M_1G25_22_16_15_Q40_Refclk0_CS0L_1120__VDDH,Rx_Err_Cnt,71130000,,0,0,,6,7113,H15_TxRxBertPrbs15_100M_1G25_22_16_15_Q40_Refclk0_CS0L_1120__VDDH_Failed
H15_TxRxBertPrbs15_100M_1G25_22_16_15_Q40_Refclk0_CS0L_1120__VDDH,Tx_Err_Cnt,71140000,,0,0,,6,7114,H15_TxRxBertPrbs15_100M_1G25_22_16_15_Q40_Refclk0_CS0L_1120__VDDH_Failed
H15_TxRxBertPrbs15_100M_1G25_22_16_15_Q40_Refclk0_CS0L_1120__VDDL,Rx_Err_Cnt,71150000,,0,0,,6,7115,H15_TxRxBertPrbs15_100M_1G25_22_16_15_Q40_Refclk0_CS0L_1120__VDDL_Failed
H15_TxRxBertPrbs15_100M_1G25_22_16_15_Q40_Refclk0_CS0L_1120__VDDL,Tx_Err_Cnt,71160000,,0,0,,6,7116,H15_TxRxBertPrbs15_100M_1G25_22_16_15_Q40_Refclk0_CS0L_1120__VDDL_Failed
H15_TxRxBertPrbs15_100M_1G5_22_21_15_Q40_Refclk0_CS0L_1120__VDDH,Rx_Err_Cnt,71170000,,0,0,,6,7117,H15_TxRxBertPrbs15_100M_1G5_22_21_15_Q40_Refclk0_CS0L_1120__VDDH_Failed
H15_TxRxBertPrbs15_100M_1G5_22_21_15_Q40_Refclk0_CS0L_1120__VDDH,Tx_Err_Cnt,71180000,,0,0,,6,7118,H15_TxRxBertPrbs15_100M_1G5_22_21_15_Q40_Refclk0_CS0L_1120__VDDH_Failed
H15_TxRxBertPrbs15_100M_1G5_22_21_15_Q40_Refclk0_CS0L_1120__VDDL,Rx_Err_Cnt,71190000,,0,0,,6,7119,H15_TxRxBertPrbs15_100M_1G5_22_21_15_Q40_Refclk0_CS0L_1120__VDDL_Failed
H15_TxRxBertPrbs15_100M_1G5_22_21_15_Q40_Refclk0_CS0L_1120__VDDL,Tx_Err_Cnt,71200000,,0,0,,6,7120,H15_TxRxBertPrbs15_100M_1G5_22_21_15_Q40_Refclk0_CS0L_1120__VDDL_Failed
H15_TxRxBertPrbs15_100M_2G5_22_16_15_H40_Refclk0_CS0L_1120__VDDH,Rx_Err_Cnt,71210000,,0,0,,6,7121,H15_TxRxBertPrbs15_100M_2G5_22_16_15_H40_Refclk0_CS0L_1120__VDDH_Failed
H15_TxRxBertPrbs15_100M_2G5_22_16_15_H40_Refclk0_CS0L_1120__VDDH,Tx_Err_Cnt,71220000,,0,0,,6,7122,H15_TxRxBertPrbs15_100M_2G5_22_16_15_H40_Refclk0_CS0L_1120__VDDH_Failed
H15_TxRxBertPrbs15_100M_2G5_22_16_15_H40_Refclk0_CS0L_1120__VDDL,Rx_Err_Cnt,71230000,,0,0,,6,7123,H15_TxRxBertPrbs15_100M_2G5_22_16_15_H40_Refclk0_CS0L_1120__VDDL_Failed
H15_TxRxBertPrbs15_100M_2G5_22_16_15_H40_Refclk0_CS0L_1120__VDDL,Tx_Err_Cnt,71240000,,0,0,,6,7124,H15_TxRxBertPrbs15_100M_2G5_22_16_15_H40_Refclk0_CS0L_1120__VDDL_Failed
H15_TxRxBertPrbs15_100M_3G_22_21_15_H40_Refclk0_CS0L_1120__VDDH,Rx_Err_Cnt,71250000,,0,0,,6,7125,H15_TxRxBertPrbs15_100M_3G_22_21_15_H40_Refclk0_CS0L_1120__VDDH_Failed
H15_TxRxBertPrbs15_100M_3G_22_21_15_H40_Refclk0_CS0L_1120__VDDH,Tx_Err_Cnt,71260000,,0,0,,6,7126,H15_TxRxBertPrbs15_100M_3G_22_21_15_H40_Refclk0_CS0L_1120__VDDH_Failed
H15_TxRxBertPrbs15_100M_3G_22_21_15_H40_Refclk0_CS0L_1120__VDDL,Rx_Err_Cnt,71270000,,0,0,,6,7127,H15_TxRxBertPrbs15_100M_3G_22_21_15_H40_Refclk0_CS0L_1120__VDDL_Failed
H15_TxRxBertPrbs15_100M_3G_22_21_15_H40_Refclk0_CS0L_1120__VDDL,Tx_Err_Cnt,71280000,,0,0,,6,7128,H15_TxRxBertPrbs15_100M_3G_22_21_15_H40_Refclk0_CS0L_1120__VDDL_Failed
H15_TxRxBertPrbs15_100M_5G_22_16_15_F20_Refclk0_CS0L_1120__VDDH,Rx_Err_Cnt,71290000,,0,0,,6,7129,H15_TxRxBertPrbs15_100M_5G_22_16_15_F20_Refclk0_CS0L_1120__VDDH_Failed
H15_TxRxBertPrbs15_100M_5G_22_16_15_F20_Refclk0_CS0L_1120__VDDH,Tx_Err_Cnt,71300000,,0,0,,6,7130,H15_TxRxBertPrbs15_100M_5G_22_16_15_F20_Refclk0_CS0L_1120__VDDH_Failed
H15_TxRxBertPrbs15_100M_5G_22_16_15_F20_Refclk0_CS0L_1120__VDDL,Rx_Err_Cnt,71310000,,0,0,,6,7131,H15_TxRxBertPrbs15_100M_5G_22_16_15_F20_Refclk0_CS0L_1120__VDDL_Failed
H15_TxRxBertPrbs15_100M_5G_22_16_15_F20_Refclk0_CS0L_1120__VDDL,Tx_Err_Cnt,71320000,,0,0,,6,7132,H15_TxRxBertPrbs15_100M_5G_22_16_15_F20_Refclk0_CS0L_1120__VDDL_Failed
H15_TxRxBertPrbs15_100M_6G_22_21_15_F20_Refclk0_CS0L_1120__VDDH,Rx_Err_Cnt,71330000,,0,0,,6,7133,H15_TxRxBertPrbs15_100M_6G_22_21_15_F20_Refclk0_CS0L_1120__VDDH_Failed
H15_TxRxBertPrbs15_100M_6G_22_21_15_F20_Refclk0_CS0L_1120__VDDH,Tx_Err_Cnt,71340000,,0,0,,6,7134,H15_TxRxBertPrbs15_100M_6G_22_21_15_F20_Refclk0_CS0L_1120__VDDH_Failed
H15_TxRxBertPrbs15_100M_6G_22_21_15_F20_Refclk0_CS0L_1120__VDDL,Rx_Err_Cnt,71350000,,0,0,,6,7135,H15_TxRxBertPrbs15_100M_6G_22_21_15_F20_Refclk0_CS0L_1120__VDDL_Failed
H15_TxRxBertPrbs15_100M_6G_22_21_15_F20_Refclk0_CS0L_1120__VDDL,Tx_Err_Cnt,71360000,,0,0,,6,7136,H15_TxRxBertPrbs15_100M_6G_22_21_15_F20_Refclk0_CS0L_1120__VDDL_Failed
H15_TxRxBertPrbs15_100M_8G_31_13_11_F16_Refclk0_CS0L_118__VDDH,Rx_Err_Cnt,71370000,,0,0,,6,7137,H15_TxRxBertPrbs15_100M_8G_31_13_11_F16_Refclk0_CS0L_118__VDDH_Failed
H15_TxRxBertPrbs15_100M_8G_31_13_11_F16_Refclk0_CS0L_118__VDDH,Tx_Err_Cnt,71380000,,0,0,,6,7138,H15_TxRxBertPrbs15_100M_8G_31_13_11_F16_Refclk0_CS0L_118__VDDH_Failed
H15_TxRxBertPrbs15_100M_8G_31_13_11_F16_Refclk0_CS0L_118__VDDL,Rx_Err_Cnt,71390000,,0,0,,6,7139,H15_TxRxBertPrbs15_100M_8G_31_13_11_F16_Refclk0_CS0L_118__VDDL_Failed
H15_TxRxBertPrbs15_100M_8G_31_13_11_F16_Refclk0_CS0L_118__VDDL,Tx_Err_Cnt,71400000,,0,0,,6,7140,H15_TxRxBertPrbs15_100M_8G_31_13_11_F16_Refclk0_CS0L_118__VDDL_Failed
